NIS,Commune,Dénominateur,Numérateur,Taux
11001,Aartselaar,32,7,"0,22"
11002,Anvers,5041,1675,"0,33"
11004,Boechout,35,8,"0,23"
11005,Boom,110,27,"0,25"
11008,Brasschaat,116,40,"0,34"
11009,Brecht,81,22,"0,27"
11013,Edegem,65,20,"0,31"
11016,Essen,51,8,"0,16"
11018,Hemiksem,42,18,"0,43"
11021,Hove,11,7,"0,64"
11022,Kalmthout,31,7,"0,23"
11023,Kapellen,73,26,"0,36"
11024,Kontich,48,13,"0,27"
11025,Lint,15,5,"0,33"
11029,Mortsel,111,41,"0,37"
11030,Niel,40,10,"0,25"
11035,Ranst,25,7,"0,28"
11037,Rumst,32,9,"0,28"
11038,Schelle,28,7,"0,25"
11039,Schilde,53,4,"0,08"
11040,Schoten,137,38,"0,28"
11044,Stabroek,37,8,"0,22"
11050,Wijnegem,40,10,"0,25"
11052,Wommelgem,40,9,"0,23"
11053,Wuustwezel,50,20,"0,40"
11054,Zandhoven,24,6,"0,25"
11055,Zoersel,47,9,"0,19"
11057,Malle,36,6,"0,17"
12002,Berlaar,27,5,"0,19"
12005,Bonheiden,47,7,"0,15"
12007,Bornem,58,21,"0,36"
12009,Duffel,50,10,"0,20"
12014,Heist-op-den-Berg,118,28,"0,24"
12021,Lierre,149,47,"0,32"
12025,Malines,473,159,"0,34"
12026,Nijlen,54,13,"0,24"
12029,Putte,38,10,"0,26"
12041,Puurs-Sint-Amands,58,13,"0,22"
12035,Sint-Katelijne-Waver,57,18,"0,32"
12040,Willebroek,132,44,"0,33"
13001,Arendonk,50,12,"0,24"
13002,Baerle-Duc,11,2,"0,18"
13003,Balen,64,26,"0,41"
13004,Beerse,42,8,"0,19"
13006,Dessel,26,10,"0,38"
13008,Geel,131,55,"0,42"
13010,Grobbendonk,26,3,"0,12"
13011,Herentals,102,20,"0,20"
13012,Herenthout,17,3,"0,18"
13013,Herselt,27,5,"0,19"
13014,Hoogstraten,53,19,"0,36"
13016,Hulshout,22,10,"0,45"
13017,Kasterlee,45,8,"0,18"
13019,Lille,39,10,"0,26"
13021,Meerhout,22,6,"0,27"
13023,Merksplas,13,3,"0,23"
13025,Mol,134,46,"0,34"
13029,Olen,43,21,"0,49"
13031,Oud-Turnhout,32,5,"0,16"
13035,Ravels,37,9,"0,24"
13036,Retie,39,13,"0,33"
13037,Rijkevorsel,25,10,"0,40"
13040,Turnhout,336,99,"0,29"
13044,Vorselaar,32,14,"0,44"
13046,Vosselaar,30,6,"0,20"
13049,Westerlo,66,15,"0,23"
13053,Laakdal,48,23,"0,48"
21001,Anderlecht,3129,895,"0,29"
21002,Auderghem,400,183,"0,46"
21003,Berchem-Sainte-Agathe,569,206,"0,36"
21004,Bruxelles,5393,2163,"0,40"
21005,Etterbeek,822,406,"0,49"
21006,Evere,875,371,"0,42"
21007,Forest,1307,599,"0,46"
21008,Ganshoren,533,201,"0,38"
21009,Ixelles,1563,662,"0,42"
21010,Jette,1106,415,"0,38"
21011,Koekelberg,531,204,"0,38"
21012,Molenbeek-Saint-Jean,2748,998,"0,36"
21013,Saint-Gilles,1253,592,"0,47"
21014,Saint-Josse-ten-Noode,803,328,"0,41"
21015,Schaerbeek,3054,1271,"0,42"
21016,Uccle,1256,450,"0,36"
21017,Watermael-Boitsfort,357,180,"0,50"
21018,Woluwe-Saint-Lambert,677,268,"0,40"
21019,Woluwe-Saint-Pierre,378,141,"0,37"
23002,Asse,124,36,"0,29"
23003,Beersel,50,11,"0,22"
23009,Biévène,<10,0,n/a
23016,Dilbeek,125,31,"0,25"
23106,Pajottegem,34,14,"0,41"
23025,Grimbergen,151,33,"0,22"
23027,Hal,119,41,"0,34"
23033,Hoeilaart,20,3,"0,15"
23038,Kampenhout,26,5,"0,19"
23039,Kapelle-op-den-Bos,10,2,"0,20"
23044,Liedekerke,32,14,"0,44"
23045,Londerzeel,32,8,"0,25"
23047,Machelen,63,15,"0,24"
23050,Meise,39,6,"0,15"
23052,Merchtem,35,11,"0,31"
23060,Opwijk,30,11,"0,37"
23062,Overijse,46,8,"0,17"
23064,Pepingen,10,2,"0,20"
23077,Sint-Pieters-Leeuw,113,25,"0,22"
23081,Steenokkerzeel,25,1,"0,04"
23086,Ternat,39,7,"0,18"
23088,Vilvorde,215,62,"0,29"
23094,Zaventem,131,25,"0,19"
23096,Zemst,39,6,"0,15"
23097,Roosdaal,18,2,"0,11"
23098,Drogenbos,21,2,"0,10"
23099,Kraainem,35,11,"0,31"
23100,Linkebeek,16,6,"0,38"
23101,Rhode-Saint-Genèse,42,3,"0,07"
23102,Wemmel,71,19,"0,27"
23103,Wezembeek-Oppem,31,6,"0,19"
23104,Lennik,<10,3,n/a
23105,Affligem,31,5,"0,16"
24001,Aarschot,74,16,"0,22"
24007,Begijnendijk,15,2,"0,13"
24008,Bekkevoort,12,2,"0,17"
24009,Bertem,10,1,"0,10"
24011,Bierbeek,10,4,"0,40"
24014,Boortmeerbeek,14,1,"0,07"
24016,Boutersem,<10,1,n/a
24020,Diest,82,19,"0,23"
24028,Geetbets,26,10,"0,38"
24033,Haacht,38,10,"0,26"
24038,Herent,27,11,"0,41"
24041,Hoegaarden,10,2,"0,20"
24043,Holsbeek,11,3,"0,27"
24045,Huldenberg,13,3,"0,23"
24048,Keerbergen,15,3,"0,20"
24054,Kortenaken,<10,2,n/a
24055,Kortenberg,42,10,"0,24"
24059,Landen,44,13,"0,30"
24062,Louvain,333,132,"0,40"
24066,Lubbeek,18,7,"0,39"
24086,Oud-Heverlee,16,0,"0,00"
24094,Rotselaar,20,3,"0,15"
24104,Tervuren,48,17,"0,35"
24107,Tirlemont,122,43,"0,35"
24109,Tremelo,25,1,"0,04"
24130,Léau,30,11,"0,37"
24133,Linter,15,2,"0,13"
24134,Montaigu-Zichem,50,9,"0,18"
24135,Tielt-Winge,23,6,"0,26"
24137,Glabbeek,11,4,"0,36"
25005,Beauvechain,42,6,"0,14"
25014,Braine-l'Alleud,286,69,"0,24"
25015,Braine-le-Château,86,27,"0,31"
25018,Chaumont-Gistoux,73,25,"0,34"
25023,Court-Saint-Etienne,96,23,"0,24"
25031,Genappe,106,31,"0,29"
25037,Grez-Doiceau,76,24,"0,32"
25043,Incourt,37,10,"0,27"
25044,Ittre,53,15,"0,28"
25048,Jodoigne,109,34,"0,31"
25050,La Hulpe,45,14,"0,31"
25068,Mont-Saint-Guibert,66,26,"0,39"
25072,Nivelles,364,167,"0,46"
25084,Perwez,57,6,"0,11"
25091,Rixensart,171,49,"0,29"
25105,Tubize,278,93,"0,33"
25107,Villers-la-Ville,61,19,"0,31"
25110,Waterloo,199,46,"0,23"
25112,Wavre,283,101,"0,36"
25117,Chastre,56,17,"0,30"
25118,Hélécine,28,6,"0,21"
25119,Lasne,80,16,"0,20"
25120,Orp-Jauche,67,22,"0,33"
25121,Ottignies-Louvain-la-Neuve,305,129,"0,42"
25122,Ramillies,46,12,"0,26"
25123,Rebecq,101,31,"0,31"
25124,Walhain,49,20,"0,41"
31003,Beernem,22,4,"0,18"
31004,Blankenberge,85,39,"0,46"
31005,Bruges,324,135,"0,42"
31006,Damme,15,5,"0,33"
31012,Jabbeke,11,1,"0,09"
31022,Oostkamp,33,11,"0,33"
31033,Torhout,38,15,"0,39"
31040,Zedelgem,34,7,"0,21"
31042,Zuienkerke,<10,0,n/a
31043,Knokke-Heist,61,21,"0,34"
32003,Dixmude,31,10,"0,32"
32006,Houthulst,10,3,"0,30"
32010,Koekelare,16,7,"0,44"
32011,Kortemark,18,5,"0,28"
32030,Lo-Reninge,<10,3,n/a
33011,Ypres,121,50,"0,41"
33016,Messines,<10,3,n/a
33021,Poperinge,37,14,"0,38"
33029,Wervik,87,38,"0,44"
33037,Zonnebeke,17,1,"0,06"
33039,Heuvelland,11,4,"0,36"
33040,Langemark-Poelkapelle,11,3,"0,27"
33041,Vleteren,<10,1,n/a
34002,Anzegem,19,4,"0,21"
34003,Avelgem,28,9,"0,32"
34009,Deerlijk,<10,1,n/a
34013,Harelbeke,55,26,"0,47"
34022,Courtrai,286,118,"0,41"
34023,Kuurne,25,9,"0,36"
34025,Lendelede,<10,2,n/a
34027,Menin,125,49,"0,39"
34040,Waregem,86,19,"0,22"
34041,Wevelgem,70,31,"0,44"
34042,Zwevegem,49,17,"0,35"
34043,Espierres-Helchin,<10,2,n/a
35002,Bredene,44,12,"0,27"
35005,Gistel,28,10,"0,36"
35006,Ichtegem,29,9,"0,31"
35011,Middelkerke,66,27,"0,41"
35013,Ostende,434,183,"0,42"
